food_category,restaurant,item_name,item_description,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugar,protein
Soup,Applebee's,French Onion Soup,"French Onion Soup, Soups",370,22,12,0,55,1250,26,2,9,16
Soup,Applebee's,Tomato Basil Soup,"Tomato Basil Soup, Soups",220,12,4.5,1.5,25,1270,22,2,9,5
Soup,Applebee's,Chicken Tortilla Soup,"Chicken Tortilla Soup, Soups",280,15,4,0,35,930,26,2,3,11
Salads,Applebee's,House Salad,"House Salad, Side Salads",130,7,2.5,0,10,230,14,2,4,6
Salads,Applebee's,Oriental Chicken Salad,"Oriental Chicken Salad, 1 Breadstick, Salad Dressing, Salads",1560,103,17,1,65,1610,120,12,44,40
Salads,Applebee's,Caesar Salad,"Caesar Salad, Side Salads",230,18,3.5,0,15,410,13,2,3,5
Salads,Applebee's,Oriental Grilled Chicken Salad,"Oriental Grilled Chicken Salad, 1 Breadstick, Salad Dressing, Salads",1430,89,14,1,150,2020,104,11,52,56
Sandwiches,Applebee's,Clubhouse Grille,"Clubhouse Grille, Side of Fries, Sandwiches & More",1450,80,21,0.5,120,3670,128,9,21,56
Sandwiches,Applebee's,Kids Corn Dog,"Kids Corn Dog, Kids Main Meal",180,9,2,0,20,400,19,1,5,7
Burgers,Applebee's,Quesadilla Burger,"Quesadilla Burger, Classic Fries, Burgers",1620,106,40,2,200,3630,97,8,6,69
Burgers,Applebee's,Classic Burger,"Classic Burger, Classic Fries, Burgers",1120,66,20,1.5,85,1880,90,7,7,43
Sandwiches,Applebee's,Chicken Fajita Rollup,"Chicken Fajita Rollup, Side of Fries, Sandwiches & More",1390,75,27,1,180,4090,116,9,6,62
Entrees,Applebee's,Kids Chicken Tenders,"Kids Chicken Tenders, Kids Main Meal",290,15,3,0,50,650,19,1,0,18
Entrees,Applebee's,Kids Kraft Macaroni & Cheese,"Kids Kraft Macaroni & Cheese, Kids Main Meal",310,9,2.5,0,15,830,44,2,10,11
Appetizers & Sides,Applebee's,Mozzarella Sticks,"Mozzarella Sticks, Appetizers",860,43,18,1,100,2450,77,7,12,41
Appetizers & Sides,Applebee's,Spinach & Artichoke Dip,"Spinach & Artichoke Dip, Appetizers",980,61,14,0.5,25,2670,89,8,8,21
Entrees,Applebee's,Shrimp 'N Parmesan Sirloin,"Shrimp 'N Parmesan Sirloin, Steaks & Ribs, Includes Fixed Sides",900,51,26,1.5,300,2800,49,7,7,66
Entrees,Applebee's,Bourbon Street Chicken & Shrimp,"Bourbon Street Chicken & Shrimp, Chicken, Includes Fixed Sides",790,43,9,0.5,235,2510,47,6,7,55
Entrees,Applebee's,Fiesta Lime Chicken,"Fiesta Lime Chicken, Chicken, Includes Fixed Sides",1170,60,14,1,195,3580,98,6,8,60
Entrees,Applebee's,Chicken Tenders Platter,"Chicken Tenders Platter, Chicken, Includes Fixed Sides",1390,79,14,0,135,2940,122,9,21,50
Entrees,Applebee's,Chicken Tenders Plate,"Chicken Tenders Plate, Chicken, Includes Fixed Sides",1080,61,11,0,100,2340,95,7,10,37
Entrees,Applebee's,Double Crunch Shrimp,"Double Crunch Shrimp, Seafood, Includes Fixed Sides",1130,49,9,0,190,3920,142,12,30,33
Fried Potatoes,Applebee's,"Classic Fries, Side","Classic Fries, Side, Sides & Extras",400,18,3.5,0,0,1000,53,5,0,6
Appetizers & Sides,Applebee's,"Crunchy Onion Rings, Side","Crunchy Onion Rings, Side, Sides & Extras",560,30,6,0,0,1170,66,4,5,7
Appetizers & Sides,Applebee's,Broccoli,"Broccoli, Kids Sides",30,0,0,0,0,30,6,3,2,3
Appetizers & Sides,Applebee's,Baked Potato,"Baked Potato, Sides & Extras",530,31,17,1,75,1120,59,4,4,9
Appetizers & Sides,Applebee's,Loaded Baked Potato,"Loaded Baked Potato, Sides & Extras",590,35,19,1,90,1270,59,4,4,12
Appetizers & Sides,Applebee's,Loaded Garlic Mashed Potatoes,"Loaded Garlic Mashed Potatoes, Sides & Extras",430,26,11,0,50,900,40,4,5,10
Desserts,Applebee's,Triple Chocolate Meltdown,"Triple Chocolate Meltdown, Desserts",850,37,14,0.5,115,650,125,5,89,13
Beverages,Applebee's,Pepsi,"Pepsi, Fountain Drinks",100,0,0,0,0,20,27,0,27,0
Beverages,Applebee's,Diet Pepsi,"Diet Pepsi, Fountain Drinks",0,0,0,0,0,25,0,0,0,0
Beverages,Applebee's,Mountain Dew,"Mountain Dew, Fountain Drinks",110,0,0,0,0,40,31,0,31,0
Beverages,Applebee's,Sierra Mist,"Sierra Mist, Fountain Drinks",90,0,0,0,0,25,25,0,25,0
Beverages,Applebee's,Brewed Iced Tea,"Brewed Iced Tea, Iced Tea",0,0,0,0,0,5,2,0,0,0
Beverages,Applebee's,Fresh Brewed Decaf Coffee,"Fresh Brewed Decaf Coffee, Coffee & Hot Tea",0,0,0,0,0,0,0,0,0,0
Beverages,Applebee's,Dr. Pepper,"Dr. Pepper, Fountain Drinks",100,0,0,0,0,40,26,0,26,0
Beverages,Applebee's,Wild Cherry Pepsi,"Wild Cherry Pepsi, Fountain Drinks",110,0,0,0,0,20,28,0,28,0
